date,home,away
2025-12-30,Burnley,Newcastle
2025-12-30,Chelsea,Bournemouth
2025-12-30,Nott'm Forest,Everton
2025-12-30,West Ham,Brighton
2025-12-30,Arsenal,Aston Villa
2025-12-30,Man United,Wolves
2026-01-01,Crystal Palace,Fulham
2026-01-01,Liverpool,Leeds
2026-01-01,Brentford,Tottenham
2026-01-01,Sunderland,Man City
2026-01-03,Aston Villa,Nott'm Forest
2026-01-03,Brighton,Burnley
2026-01-03,Wolves,West Ham
2026-01-03,Bournemouth,Arsenal
2026-01-04,Leeds,Man United
2026-01-04,Everton,Brentford
2026-01-04,Fulham,Liverpool
2026-01-04,Newcastle,Crystal Palace
2026-01-04,Tottenham,Sunderland
2026-01-04,Man City,Chelsea
2026-01-06,West Ham,Nott'm Forest
2026-01-07,Bournemouth,Tottenham
2026-01-07,Brentford,Sunderland
2026-01-07,Crystal Palace,Aston Villa
2026-01-07,Everton,Wolves
2026-01-07,Fulham,Chelsea
2026-01-07,Man City,Brighton
2026-01-07,Burnley,Man United
2026-01-07,Newcastle,Leeds
2026-01-08,Arsenal,Liverpool
2026-01-17,Man United,Man City
2026-01-17,Chelsea,Brentford
2026-01-17,Leeds,Fulham
2026-01-17,Liverpool,Burnley
2026-01-17,Sunderland,Crystal Palace
2026-01-17,Tottenham,West Ham
2026-01-17,Nott'm Forest,Arsenal
2026-01-18,Wolves,Newcastle
2026-01-18,Aston Villa,Everton
2026-01-19,Brighton,Bournemouth
2026-01-24,West Ham,Sunderland
2026-01-24,Burnley,Tottenham
2026-01-24,Fulham,Brighton
2026-01-24,Man City,Wolves
2026-01-24,Bournemouth,Liverpool
2026-01-25,Brentford,Nott'm Forest
2026-01-25,Crystal Palace,Chelsea
2026-01-25,Newcastle,Aston Villa
2026-01-25,Arsenal,Man United
2026-01-26,Everton,Leeds
2026-01-31,Brighton,Everton
2026-01-31,Leeds,Arsenal
2026-01-31,Wolves,Bournemouth
2026-01-31,Chelsea,West Ham
2026-01-31,Liverpool,Newcastle
2026-02-01,Aston Villa,Brentford
2026-02-01,Man United,Fulham
2026-02-01,Nott'm Forest,Crystal Palace
2026-02-01,Tottenham,Man City
2026-02-02,Sunderland,Burnley
2026-02-06,Leeds,Nott'm Forest
2026-02-07,Man United,Tottenham
2026-02-07,Arsenal,Sunderland
2026-02-07,Bournemouth,Aston Villa
2026-02-07,Burnley,West Ham
2026-02-07,Fulham,Everton
2026-02-07,Wolves,Chelsea
2026-02-07,Newcastle,Brentford
2026-02-08,Brighton,Crystal Palace
2026-02-08,Liverpool,Man City
2026-02-10,Chelsea,Leeds
2026-02-10,Everton,Bournemouth
2026-02-10,Tottenham,Newcastle
2026-02-10,West Ham,Man United
2026-02-11,Sunderland,Liverpool
2026-02-11,Aston Villa,Brighton
2026-02-11,Crystal Palace,Burnley
2026-02-11,Man City,Fulham
2026-02-11,Nott'm Forest,Wolves
2026-02-12,Brentford,Arsenal
2026-02-21,Man City,Newcastle
2026-02-21,Aston Villa,Leeds
2026-02-21,Brentford,Brighton
2026-02-21,Chelsea,Burnley
2026-02-21,Crystal Palace,Wolves
2026-02-21,Nott'm Forest,Liverpool
2026-02-21,West Ham,Bournemouth
2026-02-22,Sunderland,Fulham
2026-02-22,Tottenham,Arsenal
2026-02-23,Everton,Man United
2026-02-27,Wolves,Aston Villa
2026-02-28,Bournemouth,Sunderland
2026-02-28,Brighton,Nott'm Forest
2026-02-28,Burnley,Brentford
2026-02-28,Liverpool,West Ham
2026-02-28,Man United,Crystal Palace
2026-02-28,Newcastle,Everton
2026-02-28,Leeds,Man City
2026-03-01,Fulham,Tottenham
2026-03-01,Arsenal,Chelsea
2026-03-04,Aston Villa,Chelsea
2026-03-04,Bournemouth,Brentford
2026-03-04,Brighton,Arsenal
2026-03-04,Everton,Burnley
2026-03-04,Fulham,West Ham
2026-03-04,Leeds,Sunderland
2026-03-04,Man City,Nott'm Forest
2026-03-04,Newcastle,Man United
2026-03-04,Tottenham,Crystal Palace
2026-03-04,Wolves,Liverpool
2026-03-14,Arsenal,Everton
2026-03-14,Brentford,Wolves
2026-03-14,Burnley,Bournemouth
2026-03-14,Chelsea,Newcastle
2026-03-14,Crystal Palace,Leeds
2026-03-14,Liverpool,Tottenham
2026-03-14,Man United,Aston Villa
2026-03-14,Nott'm Forest,Fulham
2026-03-14,Sunderland,Brighton
2026-03-14,West Ham,Man City
2026-03-21,Aston Villa,West Ham
2026-03-21,Bournemouth,Man United
2026-03-21,Brighton,Liverpool
2026-03-21,Everton,Chelsea
2026-03-21,Fulham,Burnley
2026-03-21,Leeds,Brentford
2026-03-21,Man City,Crystal Palace
2026-03-21,Newcastle,Sunderland
2026-03-21,Tottenham,Nott'm Forest
2026-03-21,Wolves,Arsenal
2026-04-11,Arsenal,Bournemouth
2026-04-11,Brentford,Everton
2026-04-11,Burnley,Brighton
2026-04-11,Chelsea,Man City
2026-04-11,Crystal Palace,Newcastle
2026-04-11,Liverpool,Fulham
2026-04-11,Man United,Leeds
2026-04-11,Nott'm Forest,Aston Villa
2026-04-11,Sunderland,Tottenham
2026-04-11,West Ham,Wolves
2026-04-18,Aston Villa,Sunderland
2026-04-18,Brentford,Fulham
2026-04-18,Chelsea,Man United
2026-04-18,Crystal Palace,West Ham
2026-04-18,Everton,Liverpool
2026-04-18,Leeds,Wolves
2026-04-18,Man City,Arsenal
2026-04-18,Newcastle,Bournemouth
2026-04-18,Nott'm Forest,Burnley
2026-04-18,Tottenham,Brighton
2026-04-25,Arsenal,Newcastle
2026-04-25,Bournemouth,Leeds
2026-04-25,Brighton,Chelsea
2026-04-25,Burnley,Man City
2026-04-25,Fulham,Aston Villa
2026-04-25,Liverpool,Crystal Palace
2026-04-25,Man United,Brentford
2026-04-25,Sunderland,Nott'm Forest
2026-04-25,West Ham,Everton
2026-04-25,Wolves,Tottenham
2026-05-02,Arsenal,Fulham
2026-05-02,Aston Villa,Tottenham
2026-05-02,Bournemouth,Crystal Palace
2026-05-02,Brentford,West Ham
2026-05-02,Chelsea,Nott'm Forest
2026-05-02,Everton,Man City
2026-05-02,Leeds,Burnley
2026-05-02,Man United,Liverpool
2026-05-02,Newcastle,Brighton
2026-05-02,Wolves,Sunderland
2026-05-09,Brighton,Wolves
2026-05-09,Burnley,Aston Villa
2026-05-09,Crystal Palace,Everton
2026-05-09,Fulham,Bournemouth
2026-05-09,Liverpool,Chelsea
2026-05-09,Man City,Brentford
2026-05-09,Nott'm Forest,Newcastle
2026-05-09,Sunderland,Man United
2026-05-09,Tottenham,Leeds
2026-05-09,West Ham,Arsenal
2026-05-17,Arsenal,Burnley
2026-05-17,Aston Villa,Liverpool
2026-05-17,Bournemouth,Man City
2026-05-17,Brentford,Crystal Palace
2026-05-17,Chelsea,Tottenham
2026-05-17,Everton,Sunderland
2026-05-17,Leeds,Brighton
2026-05-17,Man United,Nott'm Forest
2026-05-17,Newcastle,West Ham
2026-05-17,Wolves,Fulham
2026-05-24,Brighton,Man United
2026-05-24,Burnley,Wolves
2026-05-24,Crystal Palace,Arsenal
2026-05-24,Fulham,Newcastle
2026-05-24,Liverpool,Brentford
2026-05-24,Man City,Aston Villa
2026-05-24,Nott'm Forest,Bournemouth
2026-05-24,Sunderland,Chelsea
2026-05-24,Tottenham,Everton
2026-05-24,West Ham,Leeds
